ax: 0.701157 | ay: 0.308594 | az: 0.0527039
ax: -0.217484 | ay: 0.34639 | az: -0.0203247
ax: -0.32338 | ay: 0.31691 | az: 0.0391541
ax: -0.348221 | ay: 0.327576 | az: 0.036972
ax: -0.496307 | ay: 0.355301 | az: -0.00798035
ax: -0.586258 | ay: 0.433029 | az: -0.137314
ax: -0.843918 | ay: 0.548584 | az: -0.266418
ax: -1.10933 | ay: 0.512253 | az: -0.251953
ax: -1.22691 | ay: 1.03081 | az: -0.231003
ax: -1.00937 | ay: 1.74852 | az: -0.276917
ax: -0.974838 | ay: 1.3248 | az: -0.0409851
ax: -0.549728 | ay: 1.07222 | az: -0.305954
ax: -0.363449 | ay: 0.928284 | az: -0.601379
ax: 0.20105 | ay: 0.161133 | az: -0.358063
ax: 0.16861 | ay: -0.0524292 | az: -0.19696
ax: 0.00700378 | ay: 0.689133 | az: 0.054306
ax: 0.384659 | ay: 0.625854 | az: 0.0656738
ax: 0.516388 | ay: 1.19528 | az: 0.0198059
ax: 0.527695 | ay: 1.07758 | az: 0.0171204
ax: 0.529541 | ay: 0.79538 | az: -0.114853
ax: 0.461884 | ay: 0.641174 | az: -0.0943298
ax: 0.39267 | ay: 0.482208 | az: -0.0415192
ax: 0.337967 | ay: 0.531082 | az: 0.00308228
ax: 0.238174 | ay: 0.600189 | az: 0.00418091
ax: -0.0319977 | ay: 0.511688 | az: -0.158051
ax: -0.456375 | ay: 0.133896 | az: -0.0362396
ax: -0.739426 | ay: -0.191269 | az: 0.0170898
ax: -0.952103 | ay: -0.576721 | az: -0.00526428
ax: -1.03188 | ay: -1.09467 | az: -0.172836
ax: -1.04755 | ay: -1.4469 | az: -0.190186
ax: -0.950119 | ay: -1.49696 | az: 0.0684509
ax: -0.671524 | ay: -1.79147 | az: 0.180374
ax: -0.449219 | ay: -2.05386 | az: 0.314072
ax: -0.316986 | ay: -1.53358 | az: 0.511765
ax: -0.442581 | ay: -0.652878 | az: 0.248047
ax: 0.184784 | ay: 1.86844 | az: -0.292252
ax: -0.568237 | ay: 0.240341 | az: 1.01682
ax: -0.483429 | ay: -0.337265 | az: 0.158997
ax: -0.366455 | ay: -0.0376434 | az: 0.168457
ax: -0.123596 | ay: -0.272919 | az: -0.345795
ax: 0.0692139 | ay: -0.0072937 | az: -0.159286
ax: 0.00552368 | ay: 0.0199432 | az: 0.0363007
ax: -0.0797577 | ay: -0.0366669 | az: -0.0451965
ax: -0.0711212 | ay: 0.161911 | az: 0.0889893
ax: -0.0508728 | ay: 0.240173 | az: 0.0569763
ax: -0.0408173 | ay: 0.251556 | az: -0.0306549
ax: -0.0162659 | ay: 0.241745 | az: -0.0392151
ax: -0.0131531 | ay: 0.215118 | az: -0.057312
ax: 0.0117645 | ay: 0.220825 | az: -0.00782776
ax: 0.00680542 | ay: 0.320877 | az: 0.0490265
time: 1
[20201201132803.430]
> sum ax: -12.2078 | sum ay: 8.89626 | sum az: -1.27771
>> avg ax: -0.244155 | avg ay: 0.177925 | avg az: -0.0255542
>>> vx: -2.39272 | vy: 1.74367 | vz: -0.250431
>>> sx: -1.40134 | sy: 1.72034 | sz: -0.32969
>>> a: 0.303187
>>> v: 2.97123
>>> s: 2.24321

ax: -0.0110779 | ay: 0.253006 | az: 0.054718
ax: -0.0380096 | ay: 0.201614 | az: 0.00508118
ax: -0.0310364 | ay: 0.220398 | az: -0.0717926
ax: -0.053421 | ay: 0.287415 | az: -0.0119476
ax: -0.0830994 | ay: 0.277908 | az: -0.0550995
ax: -0.117874 | ay: 0.226852 | az: -0.0469666
ax: -0.11908 | ay: 0.232758 | az: -0.0141907
ax: -0.119156 | ay: 0.298553 | az: -0.0309753
ax: -0.139191 | ay: 0.234085 | az: -0.00111389
ax: -0.210236 | ay: 0.279999 | az: -0.032486
ax: -0.287445 | ay: 0.334396 | az: 0.00325012
ax: -0.479126 | ay: 0.464417 | az: 0.193573
ax: -0.496872 | ay: 0.433441 | az: 0.035965
ax: -0.690552 | ay: 0.546677 | az: -0.155792
ax: -1.03818 | ay: 0.580353 | az: -0.256058
ax: -1.20407 | ay: 0.556519 | az: -0.5103
ax: -1.23669 | ay: 1.73061 | az: -0.820358
ax: -1.26942 | ay: 1.62498 | az: -0.319244
ax: -0.909485 | ay: 1.53922 | az: 0.168457
ax: -0.466171 | ay: 1.10452 | az: -0.23671
ax: 0.042511 | ay: 0.400146 | az: -0.350555
ax: 0.250366 | ay: -0.076767 | az: -0.204987
ax: 0.291397 | ay: 0.692169 | az: -0.147308
ax: 0.612747 | ay: 0.879883 | az: 0.0161743
ax: 0.714066 | ay: 1.313 | az: 0.0278931
