210722 step information

./1/sensor-log-mean.txt:-> step: 274
./10/sensor-log-mean.txt:-> step: 30
./11/sensor-log-mean.txt:-> step: 46
./12/sensor-log-mean.txt:-> step: 47
./13/sensor-log-mean.txt:-> step: 62
./14/sensor-log-mean.txt:-> step: 35
./15/sensor-log-mean.txt:-> step: 28
./16/sensor-log-mean.txt:-> step: 45
./17/sensor-log-mean.txt:-> step: 47
./18/sensor-log-mean.txt:-> step: 45
./19/sensor-log-mean.txt:-> step: 49
./2/sensor-log-mean.txt:-> step: 44
./20/sensor-log-mean.txt:-> step: 47
./21/sensor-log-mean.txt:-> step: 43
./22/sensor-log-mean.txt:-> step: 65
./23/sensor-log-mean.txt:-> step: 45
./24/sensor-log-mean.txt:-> step: 51
./25/sensor-log-mean.txt:-> step: 44
./26/sensor-log-mean.txt:-> step: 27
./27/sensor-log-mean.txt:-> step: 37
./28/sensor-log-mean.txt:-> step: 39
./29/sensor-log-mean.txt:-> step: 29
./3/sensor-log-mean.txt:-> step: 45
./30/sensor-log-mean.txt:-> step: 35
./31/sensor-log-mean.txt:-> step: 49
./32/sensor-log-mean.txt:-> step: 37
./4/sensor-log-mean.txt:-> step: 48
./5/sensor-log-mean.txt:-> step: 40
./6/sensor-log-mean.txt:-> step: 45
./7/sensor-log-mean.txt:-> step: 27
./8/sensor-log-mean.txt:-> step: 49
./9/sensor-log-mean.txt:-> step: 50
